title,sale_start_time,sale_end_time,release_date
"【福建】
2025宁德市蕉城区第一实验学校校园云助手-体育场开放预约系统云集成服务",2025-08-15,2025-08-18,2025-08-14
"【辽宁】
中国电信辽阳弓长岭区分公司2025年-2026年陈家自有营业厅招商项目（8月）",2025-08-15,2025-08-17,2025-08-14
"【浙江】
关于2025年云和县树之语木制教玩具厂出入库管理软件开发部署服务项目的询比文件",2025-08-07,2025-08-11,2025-08-14
"【安徽】
中国电信六安分公司2025年舒城县融媒体中心项目直接采购公示",2025-08-15,2025-08-18,2025-08-14
"【云南】
关于租赁“广南县莲城镇北宁社区建材市场一楼房屋”作为城北分局驻点办公室的采购结果公示",2025-08-14,2025-08-16,2025-08-14
"【天津】
天津电信静海分公司2025年9月1日至2026年8月31日京福公路营业厅物业服务项目单一来源采购公示",2025-08-11,2025-08-13,2025-08-12
"【天津】
中国电信天津分公司2025年室外光缆集团集采过渡期省采框架采购项目成交候选人公示（变更）",2025-08-13,2025-08-15,2025-08-12
"【天津】
中国电信天津分公司2025年武清数据中心BA系统维保服务项目询比结果公示",2025-08-04,2025-08-06,2025-08-11
"【天津】
中国电信天津分公司2025年企业数据门户扩容工程直接采购公示",2025-08-12,2025-08-14,2025-08-11
"【天津】
中国电信西青分公司某单位2025年量子加密通联项目接入工程量子安全平台项目直接采购公示",2025-08-12,2025-08-14,2025-08-11
"【天津】
中国电信天津分公司2025年客服系统门户扩容工程公开询比公告",2025-08-11,2025-08-14,2025-08-11
"【天津】
2025年长江道机房租赁合同续签项目单一来源采购公示",2025-08-05,2025-08-07,2025-08-11
"【天津】
北辰盛耀华府机房物业管理协议续签",2025-08-11,2025-08-13,2025-08-08
"【天津】
2025滨海分公司紫竹华庭室分电费协议",2025-08-11,2025-08-13,2025-08-08
"【天津】
[2025年河东河西分公司河东季景家园室分用电终止（结算）协议]项目单一来源采购公示",2025-08-11,2025-08-14,2025-08-08
"【天津】
东南组团1号基站续签租赁合同2025.9.2-2028.9.1",2025-08-07,2025-08-11,2025-08-08
"【天津】
中北组团1号基站续签租赁合同2025.9.2-2028.9.1",2025-08-07,2025-08-11,2025-08-08
"【天津】
[2025年河东河西分公司河西文化中心图书馆室分用电协议]项目单一来源采购公示",2025-08-08,2025-08-12,2025-08-07
"【天津】
[2025年-2028年河东河西分公司河东来安里基站服务合同]项目单一来源采购公示",2025-08-08,2025-08-12,2025-08-07
"【天津】
[2025年-2028年河东河西分公司河东军旅公寓基站服务合同]项目单一来源采购公示",2025-08-08,2025-08-12,2025-08-07
"【天津】
[2025年河东河西分公司河西小海地固网机房租赁协议]项目单一来源采购公示",2025-08-08,2025-08-12,2025-08-07
"【天津】
天津电信2025-2026年职工食堂服务采购项目采购失败公告",2025-08-08,2025-08-11,2025-08-07
"【天津】
中国电信天津分公司2025-2026年度全案策划广告服务商采购项目成交候选人公示",2025-08-08,2025-08-11,2025-08-07
"【天津】
中国电信河东河西分公司天津市某院语音交换机入网许可采购项目成交候选人公示",2025-08-08,2025-08-11,2025-08-07
"【天津】
【2025-2040年武清分公司武清隆泰家园小区管道租赁】-直接采购采购公示",2025-08-07,2025-08-13,2025-08-06
"【天津】
【2025-2040年武清分公司武清文荟园小区管道租赁】-直接采购采购公示",2025-08-07,2025-08-13,2025-08-06
"【天津】
【2025-2040年武清分公司武清畔水庭院小区管道租赁】-直接采购采购公示",2025-08-07,2025-08-13,2025-08-06
"【天津】
【2025-2040年武清分公司武清馨梅福苑小区管道租赁】-直接采购采购公示",2025-08-07,2025-08-13,2025-08-06
"【天津】
【2025-2040年武清分公司武清碧溪春园小区管道租赁】-直接采购采购公示",2025-08-07,2025-08-13,2025-08-06
"【天津】
【2025-2040年武清分公司武清惠民里小区管道租赁】-直接采购采购公示",2025-08-07,2025-08-13,2025-08-06
"【天津】
天津电信2025-2026年度通信局站在用防雷系统检测技术服务项目询比结果公示",,,2025-08-06
"【天津】
中国电信天津分公司2025年不良信息与未备案系统扩容工程直接采购公示",2025-08-07,2025-08-11,2025-08-06
"【天津】
中国电信滨海分公司天津空港燃气有限公司信息化提升服务DICT项目直接采购公示",2025-08-05,2025-08-07,2025-08-05
"【天津】
中国电信天津分公司2025年一键诊断扩容工程成交候选人公示",2025-08-06,2025-08-08,2025-08-05
"【天津】
中国电信股份有限公司天津分公司2025-2026年NP系统维保服务项目直接采购公示",2025-08-06,2025-08-08,2025-08-05
"【天津】
津南红磡领世深白（普雅花园）室内分布系统覆盖协议续签项目直接采购公示",2025-08-05,2025-08-07,2025-08-04
"【天津】
中国电信宁河分公司领导房屋租赁采购2025.8.16-2026.8.15",2025-08-04,2025-08-06,2025-08-01
"【天津】
中国电信津南分公司天津海联力通汽车销售服务有限公司新建语音交换机工程询比结果公示",,,2025-08-01
"【天津】
宝坻诚品嘉园南区室内分布覆盖系统用电协议",2025-08-04,2025-08-06,2025-08-01
"【天津】
中国电信天津分公司2025年X私有云建设工程安全设备和密码设备DICT采购项目标包一询比公告",2025-08-01,2025-08-04,2025-07-31
"【天津】
宝坻诚品嘉园北区室内分布用电协议",2025-07-31,2025-08-04,2025-07-31
"【天津】
2025年滨海分公司海阔海泽苑室分电费协议",2025-08-04,2025-08-06,2025-07-31
"【天津】
关于2025年滨海分公司欣康苑等五小区室分电费协议项目直接采购公示",2025-07-31,2025-08-04,2025-07-31
"【天津】
2025-2028年滨海分公司美克公寓室分用电协议书",2025-07-31,2025-08-04,2025-07-31
"【天津】
[2025年-2028年河东河西分公司北马集还迁区四基站租赁协议（续签）]项目单一来源采购公示",2025-08-04,2025-08-07,2025-07-30
"【天津】
北辰盛锦园、盛青园用电协议项目直接采购公示",2025-07-30,2025-08-04,2025-07-30
"【天津】
宝坻中央公园（菁英豪庭）室分用电协议书",2025-07-29,2025-07-31,2025-07-29
"【天津】
天津电信2025-2026年职工食堂服务采购项目询比公告",2025-07-29,2025-08-01,2025-07-29
"【天津】
2025南开红桥分公司今晚报大厦机房物业服务管理协议续签项目单一来源采购公示",2025-07-29,2025-07-31,2025-07-29
"【天津】
关于滨海分公司天鸿公寓租赁房屋电费合同（2025-2027）",2025-07-30,2025-08-01,2025-07-29
"【天津】
2025年中国电信天津分公司静海区澜境东苑地下车库室内分布系统覆盖协议",2025-07-28,2025-07-30,2025-07-28
"【天津】
中国电中国电信天津分公司2025年收入列帐扩容工程公开询比公告",2025-07-28,2025-07-31,2025-07-28
"【天津】
中国电信天津分公司2025-2026年度全案策划广告服务商采购项目公开询比公告",2025-07-28,2025-07-31,2025-07-28
"【天津】
2025年西青分公司杨柳青营业电费合同采购公示",2025-07-25,2025-07-30,2025-07-25
"【天津】
2025年西青分公司中北镇营业电费合同采购公示",2025-07-25,2025-07-30,2025-07-25
"【天津】
【2025-2038年武清分公司武清浦瑞祥园小区管道租赁】-直接采购采购公示",2025-07-28,2025-07-31,2025-07-25
"【天津】
[2025-2038年武清分公司武清浦瑞和园小区管道租赁]项目直接采购公示",2025-07-28,2025-07-31,2025-07-25
"【天津】
[2025-2028年武清分公司武清泰丰花园小区管道租赁]项目直接采购公示",2025-07-28,2025-07-31,2025-07-25
